Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
ITNPL3D,Nepal 3-month Treasury Bills,Treasury Bill Yields,Nepal Rupee,Nepal,,,,,,,National Currency,Units,Stock,none,Monthly From Jan 1981 To Oct 2008<BR>Weekly From Oct 2008 To Feb 2020<BR>,Source: Nepal Rastra Bank,
Date,Ticker,Open,High,Low,Close
06/30/2008,ITNPL3D,,,,5.41
07/31/2008,ITNPL3D,,,,5.13
08/31/2008,ITNPL3D,,,,5.17
09/30/2008,ITNPL3D,,,,3.73
10/01/2008,ITNPL3D,,,,5.83
10/12/2008,ITNPL3D,,,,6.81
10/15/2008,ITNPL3D,,,,6.69
10/21/2008,ITNPL3D,,,,6.44
10/31/2008,ITNPL3D,,,,5.48
11/05/2008,ITNPL3D,,,,5.26
11/11/2008,ITNPL3D,,,,5.04
11/18/2008,ITNPL3D,,,,4.92
11/25/2008,ITNPL3D,,,,4.7
12/02/2008,ITNPL3D,,,,4.1
12/16/2008,ITNPL3D,,,,4.16
12/23/2008,ITNPL3D,,,,4.34
12/31/2008,ITNPL3D,,,,4.51
01/06/2009,ITNPL3D,,,,5.17
01/13/2009,ITNPL3D,,,,6.53
01/20/2009,ITNPL3D,,,,6.82
01/28/2009,ITNPL3D,,,,6.93
02/03/2009,ITNPL3D,,,,6.82
02/11/2009,ITNPL3D,,,,5.98
02/17/2009,ITNPL3D,,,,6.88
02/24/2009,ITNPL3D,,,,7.32
03/03/2009,ITNPL3D,,,,5.71
03/17/2009,ITNPL3D,,,,5.65
03/24/2009,ITNPL3D,,,,6.13
03/31/2009,ITNPL3D,,,,6.03
04/07/2009,ITNPL3D,,,,6.17
04/15/2009,ITNPL3D,,,,6.61
04/21/2009,ITNPL3D,,,,6.76
04/28/2009,ITNPL3D,,,,6.81
05/05/2009,ITNPL3D,,,,6.73
05/12/2009,ITNPL3D,,,,6.77
05/19/2009,ITNPL3D,,,,6.79
05/26/2009,ITNPL3D,,,,5.65
06/02/2009,ITNPL3D,,,,5.46
06/09/2009,ITNPL3D,,,,5.57
06/16/2009,ITNPL3D,,,,5.56
06/23/2009,ITNPL3D,,,,6.71
06/30/2009,ITNPL3D,,,,5.71
07/07/2009,ITNPL3D,,,,7.71
07/15/2009,ITNPL3D,,,,8.71
07/21/2009,ITNPL3D,,,,2.43
07/28/2009,ITNPL3D,,,,1.72
08/04/2009,ITNPL3D,,,,1.12
08/11/2009,ITNPL3D,,,,1.83
08/18/2009,ITNPL3D,,,,2.51
08/25/2009,ITNPL3D,,,,2.73
09/01/2009,ITNPL3D,,,,2.49
09/08/2009,ITNPL3D,,,,2.28
09/15/2009,ITNPL3D,,,,2.3
09/22/2009,ITNPL3D,,,,2.46
10/02/2009,ITNPL3D,,,,2.78
10/06/2009,ITNPL3D,,,,2.97
10/13/2009,ITNPL3D,,,,3.06
10/20/2009,ITNPL3D,,,,3.44
10/27/2009,ITNPL3D,,,,4.48
11/03/2009,ITNPL3D,,,,5.36
11/10/2009,ITNPL3D,,,,5.38
11/17/2009,ITNPL3D,,,,5.97
11/24/2009,ITNPL3D,,,,5.55
12/01/2009,ITNPL3D,,,,5.5
12/08/2009,ITNPL3D,,,,6.38
12/15/2009,ITNPL3D,,,,7.05
12/22/2009,ITNPL3D,,,,8.28
12/29/2009,ITNPL3D,,,,8.82
01/05/2010,ITNPL3D,,,,9.68
01/12/2010,ITNPL3D,,,,8.27
01/19/2010,ITNPL3D,,,,9.32
01/26/2010,ITNPL3D,,,,9.01
02/02/2010,ITNPL3D,,,,8.92
02/09/2010,ITNPL3D,,,,8.7
02/16/2010,ITNPL3D,,,,8.75
02/23/2010,ITNPL3D,,,,8.26
03/02/2010,ITNPL3D,,,,7.4
03/09/2010,ITNPL3D,,,,6.67
03/16/2010,ITNPL3D,,,,6.06
03/23/2010,ITNPL3D,,,,6.59
04/01/2010,ITNPL3D,,,,7.55
04/06/2010,ITNPL3D,,,,8.45
04/13/2010,ITNPL3D,,,,8.82
04/20/2010,ITNPL3D,,,,8.44
04/27/2010,ITNPL3D,,,,7.41
05/05/2010,ITNPL3D,,,,7.07
05/11/2010,ITNPL3D,,,,6.73
05/18/2010,ITNPL3D,,,,6.6471
05/25/2010,ITNPL3D,,,,6.8038
06/01/2010,ITNPL3D,,,,6.731
06/08/2010,ITNPL3D,,,,6.8312
06/15/2010,ITNPL3D,,,,7.0748
06/22/2010,ITNPL3D,,,,7.5773
06/29/2010,ITNPL3D,,,,8.6144
07/06/2010,ITNPL3D,,,,9.4645
07/13/2010,ITNPL3D,,,,8.5153
07/20/2010,ITNPL3D,,,,5.0921
07/27/2010,ITNPL3D,,,,3.5809
08/03/2010,ITNPL3D,,,,3.3372
08/10/2010,ITNPL3D,,,,3.2155
08/17/2010,ITNPL3D,,,,3.3143
08/24/2010,ITNPL3D,,,,3.3278
08/31/2010,ITNPL3D,,,,3.4422
09/07/2010,ITNPL3D,,,,4.2937
09/14/2010,ITNPL3D,,,,4.2587
09/21/2010,ITNPL3D,,,,4.5704
09/28/2010,ITNPL3D,,,,5.474
10/05/2010,ITNPL3D,,,,6.5803
10/12/2010,ITNPL3D,,,,7.9471
10/20/2010,ITNPL3D,,,,8.5607
10/26/2010,ITNPL3D,,,,8.2395
11/02/2010,ITNPL3D,,,,7.902
11/09/2010,ITNPL3D,,,,7.244
11/16/2010,ITNPL3D,,,,7.1312
11/23/2010,ITNPL3D,,,,6.9472
11/30/2010,ITNPL3D,,,,6.7959
12/07/2010,ITNPL3D,,,,6.7061
12/14/2010,ITNPL3D,,,,6.8154
12/22/2010,ITNPL3D,,,,6.8898
12/28/2010,ITNPL3D,,,,8.5467
01/04/2011,ITNPL3D,,,,9.2728
01/11/2011,ITNPL3D,,,,9.6559
01/18/2011,ITNPL3D,,,,8.3947
01/25/2011,ITNPL3D,,,,8.0171
02/01/2011,ITNPL3D,,,,7.3942
02/08/2011,ITNPL3D,,,,7.2981
02/15/2011,ITNPL3D,,,,7.4772
02/22/2011,ITNPL3D,,,,7.9856
03/01/2011,ITNPL3D,,,,8.2445
03/09/2011,ITNPL3D,,,,8.3046
03/15/2011,ITNPL3D,,,,8.6594
03/22/2011,ITNPL3D,,,,8.9445
03/29/2011,ITNPL3D,,,,9.1134
04/05/2011,ITNPL3D,,,,9.4449
04/13/2011,ITNPL3D,,,,9.6238
04/19/2011,ITNPL3D,,,,9.4025
