Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
SCNPLM,"Nepal Capitalization, Volume","Stocks - Capitalization, Volume",Nepal Rupee,Nepal,,,,,,,National Currency,Millions,Stock,none,Annual From Jul 1994 To Jul 1998<BR>Monthly From Aug 1998 To Oct 2010<BR>Quarterly From Jan 2011 To Jul 2019<BR>,Source: Nepal Rastra Bank,
Date,Ticker,Close
03/31/2005,SCNPLM,58994.1992
04/29/2005,SCNPLM,62567.8984
05/31/2005,SCNPLM,61076.6992
06/30/2005,SCNPLM,59465.6016
07/29/2005,SCNPLM,61365.8984
08/31/2005,SCNPLM,64240.8984
09/30/2005,SCNPLM,66953.1016
10/31/2005,SCNPLM,68013.2969
11/30/2005,SCNPLM,69169.3984
12/30/2005,SCNPLM,69335.5
01/31/2006,SCNPLM,69994
02/28/2006,SCNPLM,74053.6016
03/31/2006,SCNPLM,80663
04/28/2006,SCNPLM,79471.2969
05/31/2006,SCNPLM,94001.1016
06/30/2006,SCNPLM,93846.7969
07/31/2006,SCNPLM,96763.7969
08/31/2006,SCNPLM,97457.8984
09/29/2006,SCNPLM,96440.3984
10/31/2006,SCNPLM,100566
11/30/2006,SCNPLM,113080.7
12/29/2006,SCNPLM,128536.7
01/31/2007,SCNPLM,136911.2031
02/28/2007,SCNPLM,137308.9
03/31/2007,SCNPLM,130177.5
04/30/2007,SCNPLM,133398.8
05/31/2007,SCNPLM,138487
06/30/2007,SCNPLM,155242.3
07/31/2007,SCNPLM,186301.3
08/31/2007,SCNPLM,193213.1
09/30/2007,SCNPLM,225034.4
10/31/2007,SCNPLM,265305
11/30/2007,SCNPLM,287482
12/31/2007,SCNPLM,322619.5
01/31/2008,SCNPLM,301864.6
02/29/2008,SCNPLM,260505.5
03/31/2008,SCNPLM,230817.2
04/30/2008,SCNPLM,241127.8
05/31/2008,SCNPLM,274101.4
06/30/2008,SCNPLM,324506.8
07/31/2008,SCNPLM,366247.6
08/31/2008,SCNPLM,423675.1
09/30/2008,SCNPLM,509807.1
10/31/2008,SCNPLM,487847.8
11/30/2008,SCNPLM,428686.9
12/31/2008,SCNPLM,387429.1
01/31/2009,SCNPLM,361919.3
02/28/2009,SCNPLM,399814.7
03/31/2009,SCNPLM,402030.6
04/30/2009,SCNPLM,421159.1
05/31/2009,SCNPLM,423459.1
06/30/2009,SCNPLM,451167.3
07/31/2009,SCNPLM,512939.1
08/31/2009,SCNPLM,495994.3
09/30/2009,SCNPLM,440538.5
10/31/2009,SCNPLM,429649.8
11/30/2009,SCNPLM,414856.8
12/31/2009,SCNPLM,401546.1
01/31/2010,SCNPLM,407783.7
02/28/2010,SCNPLM,383912
03/31/2010,SCNPLM,375996.1
04/30/2010,SCNPLM,344450.8
05/31/2010,SCNPLM,356105.7
06/30/2010,SCNPLM,373518.6
07/31/2010,SCNPLM,376871.4
08/31/2010,SCNPLM,360275.5
09/30/2010,SCNPLM,330613.3
10/31/2010,SCNPLM,355722.8
01/31/2011,SCNPLM,349283.4
04/30/2011,SCNPLM,331145.3
07/31/2011,SCNPLM,323484.3
10/31/2011,SCNPLM,302067.2
01/31/2012,SCNPLM,300428.8
04/30/2012,SCNPLM,301934.2
10/31/2012,SCNPLM,404628
01/31/2013,SCNPLM,510427.7
04/30/2013,SCNPLM,508327.8
07/31/2013,SCNPLM,514492.1
10/31/2013,SCNPLM,575428.2
01/31/2014,SCNPLM,799760.3
04/30/2014,SCNPLM,833187.5
07/31/2014,SCNPLM,1057165.8
10/31/2014,SCNPLM,947805.3
01/31/2015,SCNPLM,963417.6
04/30/2015,SCNPLM,973266.8
07/31/2015,SCNPLM,989404
10/31/2015,SCNPLM,1169355.3
01/31/2016,SCNPLM,1282865
04/30/2016,SCNPLM,1496564.6
07/31/2016,SCNPLM,1890130
10/31/2016,SCNPLM,1998616.2
01/31/2017,SCNPLM,1660276.9
04/30/2017,SCNPLM,1951153.8
07/31/2017,SCNPLM,1856829.3
10/31/2017,SCNPLM,1809806.3
01/31/2018,SCNPLM,1671612.8
04/30/2018,SCNPLM,1497796.1
07/31/2018,SCNPLM,1435137.7
10/31/2018,SCNPLM,1481221.4
01/31/2019,SCNPLM,1436672.6
04/30/2019,SCNPLM,1462507.7
07/31/2019,SCNPLM,1567499.4
