Date,indexes,returns,SVAR,treasury_yields,gov_bond_yields,infl
2002-05,233.28,0.05954489712494897,0.005847757833527831,0.049,0.085,0.007851534505028512
2002-06,229.17,-0.017618312757201705,0.00036547327124337124,0.045,0.085,0.011331443143744124
2002-07,224.57,-0.02007243531003183,0.00475080183690187,0.038,0.08,0.011904763190844658
2002-08,227.36,0.012423743153582493,0.0001907023712322586,0.034,0.08,0.0207612446746257
2002-09,217.53,-0.04323539760731884,0.0002851041323983898,0.035,0.08,0.006101694372206312
2002-10,225.4,0.03617891785041146,0.00022215650970640194,0.036000000000000004,0.08,0.002021564008648058
2002-11,217.44,-0.0353149955634428,0.00019976369363868514,0.04,0.08,-0.004707463712161908
2002-12,204.77,-0.05826894775570267,0.0010670044147844512,0.038,0.08,-0.00675675643037732
2003-01,203.54,-0.006006739268447615,0.0006835400057225789,0.040999999999999995,0.08,-0.011564627079653444
2003-02,209.26,0.02810258425862238,0.007302176422877455,0.04,0.08,0.0034411573602026735
2003-03,214.84,0.026665392334894452,0.3135792583583037,0.039,0.08,0.00617283894861731
2003-04,209.17,-0.026391733382982757,0.00026358387365126186,0.040999999999999995,0.08,0.03271983431851422
2003-05,209.63,0.0021991681407467992,5.662546267864348e-05,0.028999999999999998,0.08,0.003960397347791744
2003-06,205.67,-0.0188904259886467,0.0003689553006845989,0.017,0.08,0.0006574624122384076
2003-07,202.95,-0.01322506928574901,0.00015929450260352337,0.03,0.07,0.007227332361460004
2003-08,205.32,0.011677753141167799,0.0005189130193333199,0.0403,0.07,0.01369862973351843
2003-09,206.83,0.007354373660627408,0.0003767358440094687,0.0366,0.07,0.004504505987799501
2003-10,207.65,0.003964608615771374,2.9965589422374754e-05,0.037000000000000005,0.07,0.006406147183132482
2003-11,205.66,-0.009583433662412757,9.862865705339863e-05,0.036699999999999997,0.07,-0.003182684844017847
2003-12,201.57,-0.019887192453564153,0.0005742683077033269,0.0385,0.07,-0.015325670737434294
2004-01,211.39,0.04871756709827848,0.0005307325201090316,0.0395,0.07,-0.011024644511931192
2004-02,208.87,-0.011921093713042159,4.5356938915534755e-05,0.0394,0.07,0.0013114758434344953
2004-03,196.34,-0.05998946713266626,0.0021926111545892335,0.0381,0.07,0.002619516254579679
2004-04,205.22,0.045227666293164895,0.00036402593932767773,0.017,0.065,0.0065316783348083884
2004-05,207.41,0.010671474515154458,0.0010225452533898078,0.006999999999999999,0.065,0.0
2004-06,218.65,0.05419217974061043,0.0012427521189589388,0.008199999999999999,0.065,0.00584036532553478
2004-07,226.72,0.03690830093757143,0.001132179691347178,0.0147,0.065,0.009032256169493103
2004-08,237.43,0.0472388849682428,0.0008099922322103864,0.0062,0.065,0.014705882388320157
2004-09,234.11,-0.013983068693930813,0.0007261819014961593,0.0063,0.065,0.006301199304076244
2004-10,232.44,-0.00713339882961008,6.859021799296761e-05,0.0134,0.065,0.009392609509781824
2004-11,238.92,0.027878162106349982,0.0002775488034542393,0.0197,0.065,-0.002481390394824201
2004-12,238.29,-0.0026368658965343857,0.00023118162070511476,0.024,0.065,-0.011194028864125793
2005-01,247.41,0.03827269293717741,0.0004266144554233436,0.0208,0.065,0.0031446551224376673
2005-02,265.97,0.0750171779637041,0.0011150944602325006,0.023799999999999998,0.065,0.011285265440121206
2005-03,284.34,0.06906793999323212,0.001127197475022067,0.0294,0.065,0.003719778036863408
2005-04,294.29,0.03499331785890148,0.00028556963383854144,0.0311,0.065,0.007411982810164419
2005-05,279.9,-0.048897346155153225,0.001662272839236692,0.037000000000000005,0.065,0.005518086563853997
2005-06,281.15,0.004465880671668454,0.00012669930759480716,0.0382,0.065,0.003658535491380066
2005-07,296.78,0.05559309976880668,0.00024334499697663842,0.0394,0.065,0.013365734943222796
2005-08,290.56,-0.020958285598759927,0.001213619270137726,0.0226,0.065,0.023381295897174637
