S.N,Date,Open,High,Low,Close,Absolute,Percentage,Volume,Trunover
2763,2007-12-17,1064.09,1064.09,1064.09,1064.09,11.17,1.05%,1064,nan
2764,2007-12-16,1052.92,1052.92,1052.92,1052.92,27.01,2.565%,1053,nan
2765,2007-12-13,1025.91,1025.91,1025.91,1025.91,25.64,2.499%,1026,nan
2766,2007-12-12,1000.27,1000.27,1000.27,1000.27,3.98,0.398%,1000,nan
2767,2007-12-11,996.29,996.29,996.29,996.29,4.09,0.411%,996,nan
2768,2007-12-10,992.20,992.20,992.20,992.20,-8.29,0.836%,992,nan
2769,2007-12-09,1000.49,1000.49,1000.49,1000.49,7.68,0.768%,1000,nan
2770,2007-12-06,992.81,992.81,992.81,992.81,18.4,1.853%,993,nan
2771,2007-12-05,974.41,974.41,974.41,974.41,10.62,1.09%,974,nan
2772,2007-12-04,963.79,963.79,963.79,963.79,20.8,2.158%,964,nan
2773,2007-12-03,942.99,942.99,942.99,942.99,20.55,2.179%,943,nan
2774,2007-12-02,922.44,922.44,922.44,922.44,25.15,2.726%,922,nan
2775,2007-11-29,897.29,897.29,897.29,897.29,17.71,1.974%,897,nan
2776,2007-11-28,879.58,879.58,879.58,879.58,10.2,1.16%,880,nan
2777,2007-11-27,869.38,869.38,869.38,869.38,1.77,0.204%,869,nan
2778,2007-11-26,867.61,867.61,867.61,867.61,6.32,0.728%,868,nan
2779,2007-11-25,861.29,861.29,861.29,861.29,5.05,0.586%,861,nan
2780,2007-11-22,856.24,856.24,856.24,856.24,0.68,0.079%,856,nan
2781,2007-11-21,855.56,855.56,855.56,855.56,2.88,0.337%,856,nan
2782,2007-11-20,852.68,852.68,852.68,852.68,-2.32,0.272%,853,nan
2783,2007-11-19,855.00,855.00,855.00,855.00,3.45,0.404%,855,nan
2784,2007-11-18,851.55,851.55,851.55,851.55,-63.83,7.496%,852,nan
2785,2007-11-15,915.38,915.38,915.38,915.38,12.93,1.413%,915,nan
2786,2007-11-14,902.45,902.45,902.45,902.45,10.17,1.127%,902,nan
2787,2007-11-13,892.28,892.28,892.28,892.28,3.16,0.354%,892,nan
2788,2007-11-12,889.12,889.12,889.12,889.12,6.67,0.75%,889,nan
2789,2007-11-08,882.45,882.45,882.45,882.45,2.39,0.271%,882,nan
2790,2007-11-07,880.06,880.06,880.06,880.06,2.62,0.298%,880,nan
2791,2007-11-06,877.44,877.44,877.44,877.44,2.9,0.331%,877,nan
2792,2007-11-05,874.54,874.54,874.54,874.54,-2.06,0.236%,875,nan
2793,2007-11-04,876.60,876.60,876.60,876.60,-10.99,1.254%,877,nan
2794,2007-11-01,887.59,887.59,887.59,887.59,8.73,0.984%,888,nan
2795,2007-10-31,878.86,878.86,878.86,878.86,13.97,1.59%,879,nan
2796,2007-10-30,864.89,864.89,864.89,864.89,5.4,0.624%,865,nan
2797,2007-10-29,859.49,859.49,859.49,859.49,1.43,0.166%,859,nan
2798,2007-10-28,858.06,858.06,858.06,858.06,-3.31,0.386%,858,nan
2799,2007-10-17,861.37,861.37,861.37,861.37,-1.77,0.205%,861,nan
2800,2007-10-16,863.14,863.14,863.14,863.14,-6.12,0.709%,863,nan
2801,2007-10-15,869.26,869.26,869.26,869.26,-14.16,1.629%,869,nan
2802,2007-10-14,883.42,883.42,883.42,883.42,17.29,1.957%,883,nan
2803,2007-10-11,866.13,866.13,866.13,866.13,28.41,3.28%,866,nan
2804,2007-10-10,837.72,837.72,837.72,837.72,-10.4,1.241%,838,nan
2805,2007-10-09,848.12,848.12,848.12,848.12,-25.8,3.042%,848,nan
2806,2007-10-08,873.92,873.92,873.92,873.92,-25.46,2.913%,874,nan
2807,2007-10-07,899.38,899.38,899.38,899.38,-0.04,0.004%,899,nan
2808,2007-10-04,899.42,899.42,899.42,899.42,8.86,0.985%,899,nan
2809,2007-10-03,890.56,890.56,890.56,890.56,4.44,0.499%,891,nan
2810,2007-10-02,886.12,886.12,886.12,886.12,-1.33,0.15%,886,nan
2811,2007-10-01,887.45,887.45,887.45,887.45,1.95,0.22%,887,nan
2812,2007-09-30,885.50,885.50,885.50,885.50,7.15,0.807%,886,nan
2813,2007-09-27,878.35,878.35,878.35,878.35,23.22,2.644%,878,nan
2814,2007-09-26,855.13,855.13,855.13,855.13,6.93,0.81%,855,nan
2815,2007-09-24,848.20,848.20,848.20,848.20,0.34,0.04%,848,nan
2816,2007-09-23,847.86,847.86,847.86,847.86,-32.1,3.786%,848,nan
2817,2007-09-20,879.96,879.96,879.96,879.96,42.04,4.777%,880,nan
2818,2007-09-19,837.92,837.92,837.92,837.92,10.18,1.215%,838,nan
2819,2007-09-18,827.74,827.74,827.74,827.74,10.66,1.288%,828,nan
2820,2007-09-17,817.08,817.08,817.08,817.08,-1.08,0.132%,817,nan
2821,2007-09-16,818.16,818.16,818.16,818.16,4.39,0.537%,818,nan
2822,2007-09-13,813.77,813.77,813.77,813.77,-7.67,0.943%,814,nan
2823,2007-09-12,821.44,821.44,821.44,821.44,-12.12,1.475%,821,nan
2824,2007-09-11,833.56,833.56,833.56,833.56,4.78,0.573%,834,nan
2825,2007-09-10,828.78,828.78,828.78,828.78,16.8,2.027%,829,nan
2826,2007-09-09,811.98,811.98,811.98,811.98,15.64,1.926%,812,nan
2827,2007-09-08,796.34,796.34,796.34,796.34,10.91,1.37%,796,nan
2828,2007-09-05,785.43,785.43,785.43,785.43,16.36,2.083%,785,nan
2829,2007-09-03,769.07,769.07,769.07,769.07,13.02,1.693%,769,nan
2830,2007-09-02,756.05,756.05,756.05,756.05,16.52,2.185%,756,nan
2831,2007-08-30,739.53,739.53,739.53,739.53,16.49,2.23%,740,nan
2832,2007-08-27,723.04,723.04,723.04,723.04,-0.67,0.093%,723,nan
2833,2007-08-26,723.71,723.71,723.71,723.71,-2.15,0.297%,724,nan
2834,2007-08-24,725.86,725.86,725.86,725.86,0.35,0.048%,726,nan
2835,2007-08-23,725.51,725.51,725.51,725.51,2.97,0.409%,726,nan
2836,2007-08-22,722.54,722.54,722.54,722.54,0.79,0.109%,723,nan
2837,2007-08-21,721.75,721.75,721.75,721.75,7.69,1.065%,722,nan
2838,2007-08-20,714.06,714.06,714.06,714.06,3.42,0.479%,714,nan
2839,2007-08-19,710.64,710.64,710.64,710.64,4.68,0.659%,711,nan
2840,2007-08-16,705.96,705.96,705.96,705.96,0.91,0.129%,706,nan
2841,2007-08-15,705.05,705.05,705.05,705.05,-7.62,1.081%,705,nan
2842,2007-08-14,712.67,712.67,712.67,712.67,-5.42,0.761%,713,nan
2843,2007-08-13,718.09,718.09,718.09,718.09,-5.23,0.728%,718,nan
2844,2007-08-09,723.32,723.32,723.32,723.32,-1.99,0.275%,723,nan
2845,2007-08-08,725.31,725.31,725.31,725.31,5.62,0.775%,725,nan
2846,2007-08-07,719.69,719.69,719.69,719.69,13.58,1.887%,720,nan
2847,2007-08-06,706.11,706.11,706.11,706.11,3.38,0.479%,706,nan
2848,2007-08-05,702.73,702.73,702.73,702.73,9.5,1.352%,703,nan
2849,2007-08-02,693.23,693.23,693.23,693.23,9.87,1.424%,693,nan
2850,2007-08-01,683.36,683.36,683.36,683.36,4.39,0.642%,683,nan
2851,2007-07-31,678.97,678.97,678.97,678.97,-1.58,0.233%,679,nan
2852,2007-07-30,680.55,680.55,680.55,680.55,-4.81,0.707%,681,nan
2853,2007-07-29,685.36,685.36,685.36,685.36,-2.47,0.36%,685,nan
2854,2007-07-26,687.83,687.83,687.83,687.83,-1.97,0.286%,688,nan
2855,2007-07-25,689.80,689.80,689.80,689.80,-5.58,0.809%,690,nan
2856,2007-07-24,695.38,695.38,695.38,695.38,-0.3,0.043%,695,nan
2857,2007-07-23,695.68,695.68,695.68,695.68,8.03,1.154%,696,nan
2858,2007-07-22,687.65,687.65,687.65,687.65,7.66,1.114%,688,nan
2859,2007-07-19,679.99,679.99,679.99,679.99,2.01,0.296%,680,nan
2860,2007-07-18,677.98,677.98,677.98,677.98,-18.6,2.743%,678,nan
2861,2007-07-17,696.58,696.58,696.58,696.58,12.63,1.813%,697,nan
