Date,28 Days,91 Days,182 Days,364 Days,Weighted Average Interbank Rate (Daily),7 Days (Regular),7 Days (Regular),15 Days,30 Days,60 Days,90 Days,Weighted Average Deposit Auction Rate (14 Days),Weighted Average Repo Rate (14 Days)
"17 Jul, 2007",,4.53,,,5.17,,,,,,,,
"18 Jul, 2007",,,,,5.24,,,,,,,,
"19 Jul, 2007",,,,,5.05,,,,,,,,
"20 Jul, 2007",,,,,4.99,,,,,,,,
"22 Jul, 2007",,,,,5.04,,,,,,,,
"23 Jul, 2007",,,,,4.77,,,,,,,,
"24 Jul, 2007",,3.90,,,4.50,,,,,,,,
"25 Jul, 2007",,,,,5.38,,,,,,,,
"26 Jul, 2007",,,,,4.29,,,,,,,,
"27 Jul, 2007",,,,,4.27,,,,,,,,
"29 Jul, 2007",,,,,4.31,,,,,,,,
"30 Jul, 2007",,,,,4.53,,,,,,,,
"31 Jul, 2007",,,,,4.30,,,,,,,,
"01 Aug, 2007",,,,,4.19,,,,,,,,
"02 Aug, 2007",,,,,4.03,,,,,,,,
"03 Aug, 2007",,,,,4.13,,,,,,,,
"05 Aug, 2007",,,,,4.10,,,,,,,,
"06 Aug, 2007",,,,,4.07,,,,,,,,
"07 Aug, 2007",,,,,3.80,,,,,,,,
"08 Aug, 2007",,,,,3.93,,,,,,,,
"09 Aug, 2007",,,,,3.51,,,,,,,,
"10 Aug, 2007",,,,,3.54,,,,,,,,
"12 Aug, 2007",,,,,3.35,,,,,,,,
"13 Aug, 2007",,,,,3.21,,,,,,,,
"14 Aug, 2007",,,,,3.84,,,,,,,,
"15 Aug, 2007",,,,,2.48,,,,,,,,
"16 Aug, 2007",,,,,2.26,,,,,,,,
"17 Aug, 2007",,,,,1.89,,,,,,,,
"19 Aug, 2007",,,,,1.64,,,,,,,,
"20 Aug, 2007",,,,,1.47,,,,,,,,
"21 Aug, 2007",,2.38,,,1.34,,,,,,,,
"22 Aug, 2007",,,,,1.20,,,,,,,,
"23 Aug, 2007",,,,,1.22,,,,,,,,
"24 Aug, 2007",,,,,1.28,,,,,,,,
"26 Aug, 2007",,,,,1.46,,,,,,,,
"27 Aug, 2007",,,,,1.30,,,,,,,,
"30 Aug, 2007",,2.02,,,1.55,,,,,,,,
"31 Aug, 2007",,,,,1.40,,,,,,,,
"02 Sep, 2007",,,,,1.46,,,,,,,,
"03 Sep, 2007",,,,,1.82,,,,,,,,
"05 Sep, 2007",,2.01,,,2.33,,,,,,,,
"06 Sep, 2007",,,,,2.85,,,,,,,,
"07 Sep, 2007",,,,,2.71,,,,,,,,
"09 Sep, 2007",,,,,2.95,,,,,,,,
"10 Sep, 2007",,,,,2.94,,,,,,,,
"11 Sep, 2007",,2.02,,,2.98,,,,,,,,
"12 Sep, 2007",,,,,2.98,,,,,,,,
"13 Sep, 2007",,,,,3.04,,,,,,,,
"14 Sep, 2007",,,,,2.99,,,,,,,,
"16 Sep, 2007",,,,,3.15,,,,,,,,
"17 Sep, 2007",,,,,3.30,,,,,,,,
"18 Sep, 2007",,2.00,,,3.21,,,,,,,,
"19 Sep, 2007",,,,,3.38,,,,,,,,
"20 Sep, 2007",,,,,3.11,,,,,,,,
"21 Sep, 2007",,,,,2.74,,,,,,,,
"23 Sep, 2007",,,,,2.74,,,,,,,,
"24 Sep, 2007",,,,,2.89,,,,,,,,
"25 Sep, 2007",,,,,2.89,,,,,,,,
"26 Sep, 2007",,2.09,,,3.05,,,,,,,,
"27 Sep, 2007",,,,,,,,,,,,,
"28 Sep, 2007",,,,,2.98,,,,,,,,
"30 Sep, 2007",,,,,2.98,,,,,,,,
"01 Oct, 2007",,,,,3.14,,,,,,,,
"02 Oct, 2007",,2.21,,,3.04,,,,,,,,
"03 Oct, 2007",,,,,3.16,,,,,,,,
"04 Oct, 2007",,,,,3.41,,,,,,,,
"05 Oct, 2007",,,,,3.12,,,,,,,,
"07 Oct, 2007",,,,,3.32,,,,,,,,
"09 Oct, 2007",,2.96,,,3.44,,,,,,,,
"10 Oct, 2007",,,,,3.62,,,,,,,,
"11 Oct, 2007",,,,,3.57,,,,,,,,
"12 Oct, 2007",,,,,3.29,,,,,,,,
"14 Oct, 2007",,,,,3.39,,,,,,,,
"15 Oct, 2007",,,,,4.04,,,,,,,,
"16 Oct, 2007",,3.02,,,4.42,,,,,,,,
"17 Oct, 2007",,,,,6.61,,,,,,,,
"28 Oct, 2007",,,,,4.19,,,,,,,,
"29 Oct, 2007",,,,,4.37,,,,,,,,
"30 Oct, 2007",,2.90,,,3.63,,,,,,,,
"31 Oct, 2007",,,,,3.46,,,,,,,,
"01 Nov, 2007",,,,,3.65,,,,,,,,
"02 Nov, 2007",,,,,3.77,,,,,,,,
"04 Nov, 2007",,,,,3.48,,,,,,,,
"05 Nov, 2007",,,,,3.49,,,,,,,,
"06 Nov, 2007",,2.94,,,3.40,,,,,,,,
"07 Nov, 2007",,,,,3.37,,,,,,,,
"08 Nov, 2007",,,,,3.29,,,,,,,,
"12 Nov, 2007",,,,,3.31,,,,,,,,
"13 Nov, 2007",,3.24,,,3.65,,,,,,,,
"14 Nov, 2007",,,,,3.69,,,,,,,,
"15 Nov, 2007",,,,,4.57,,,,,,,,
"16 Nov, 2007",,,,,4.59,,,,,,,,
"18 Nov, 2007",,,,,4.53,,,,,,,,
"19 Nov, 2007",,,,,4.78,,,,,,,,
"20 Nov, 2007",,3.81,,,5.13,,,,,,,,
"21 Nov, 2007",,,,,5.29,,,,,,,,
"22 Nov, 2007",,,,,5.32,,,,,,,,
"23 Nov, 2007",,,,,4.81,,,,,,,,
"25 Nov, 2007",,,,,5.14,,,,,,,,
"26 Nov, 2007",,,,,5.25,,,,,,,,
"27 Nov, 2007",,3.45,,,5.35,,,,,,,,
"28 Nov, 2007",,,,,5.15,,,,,,,,
"29 Nov, 2007",,,,,5.90,,,,,,,,
"30 Nov, 2007",,,,,4.81,,,,,,,,
"02 Dec, 2007",,,,,4.93,,,,,,,,
"03 Dec, 2007",,,,,4.87,,,,,,,,
"04 Dec, 2007",,3.53,,,4.97,,,,,,,,
"05 Dec, 2007",,,,,4.87,,,,,,,,
"06 Dec, 2007",,,,,4.82,,,,,,,,
"07 Dec, 2007",,,,,4.58,,,,,,,,
"09 Dec, 2007",,,,,4.52,,,,,,,,
"10 Dec, 2007",,,,,4.31,,,,,,,,
"11 Dec, 2007",,3.44,,,4.19,,,,,,,,
"12 Dec, 2007",,,,,4.07,,,,,,,,
"13 Dec, 2007",,,,,3.79,,,,,,,,
"14 Dec, 2007",,,,,3.25,,,,,,,,
"16 Dec, 2007",,,,,3.27,,,,,,,,
"17 Dec, 2007",,,,,3.46,,,,,,,,
"18 Dec, 2007",,3.40,,,3.51,,,,,,,,
"19 Dec, 2007",,,,,3.63,,,,,,,,
"20 Dec, 2007",,,,,3.68,,,,,,,,
"21 Dec, 2007",,,,,3.16,,,,,,,,
"23 Dec, 2007",,,,,3.72,,,,,,,,
"24 Dec, 2007",,,,,3.89,,,,,,,,
"25 Dec, 2007",,3.57,,,4.79,,,,,,,,
"26 Dec, 2007",,,,,5.16,,,,,,,,
"27 Dec, 2007",,,,,5.21,,,,,,,,
"28 Dec, 2007",,,,,5.26,,,,,,,,
"31 Dec, 2007",,,,,5.28,,,,,,,,
"01 Jan, 2008",,4.02,,,5.48,,,,,,,,
"02 Jan, 2008",,,,,5.41,4.10,,,,,,,
"03 Jan, 2008",,,,,5.78,,,,,,,,
"04 Jan, 2008",,,,,5.98,,,,,,,,
"06 Jan, 2008",,,,,5.86,,,,,,,,
"07 Jan, 2008",,,,,5.98,,,,,,,,
"08 Jan, 2008",,4.62,,,6.33,,,,,,,,
"09 Jan, 2008",,,,,6.70,,,,,,,,
"10 Jan, 2008",,,,,6.49,,,,,,,,
"11 Jan, 2008",,,,,6.31,,,,,,,,
"13 Jan, 2008",,,,,,,,,,,,,
"16 Jan, 2008",,5.09,,,6.99,,,,,,,,
"17 Jan, 2008",,,,,6.88,,,,,,,,
"18 Jan, 2008",,,,,7.01,,,,,,,,
"20 Jan, 2008",,,,,7.04,,,,,,,,
"21 Jan, 2008",,,,,7.25,,,,,,,,
"22 Jan, 2008",,5.73,,,7.50,,,,,,,,
"23 Jan, 2008",,,,,7.58,,,,,,,,
"24 Jan, 2008",,,,,7.70,,,,,,,,
"25 Jan, 2008",,,,,7.64,,,,,,,,
"27 Jan, 2008",,,,,7.72,,,,,,,,
"28 Jan, 2008",,,,,7.67,,,,,,,,
"29 Jan, 2008",,5.78,,,,7.39,,,,,,,
"31 Jan, 2008",,,,,,,,,,,,,
"01 Feb, 2008",,,,,,7.40,,,,,,,
"03 Feb, 2008",,,,,,,,,,,,,
"04 Feb, 2008",,,,,,,,,,,,,
"05 Feb, 2008",,5.92,,,,,,,,,,,
"06 Feb, 2008",,,,,,,,,,,,,
"10 Feb, 2008",,,,,7.75,,,,,,,,
"11 Feb, 2008",,,,,7.95,7.62,,,,,,,
"12 Feb, 2008",,6.16,,,7.93,,,,,,,,
"13 Feb, 2008",,,,,7.91,,,,,,,,
"14 Feb, 2008",,,,,7.63,,,,,,,,
"15 Feb, 2008",,,,,6.97,,,,,,,,
"18 Feb, 2008",,,,,7.31,,,,,,,,
"20 Feb, 2008",,6.23,,,6.89,,,,,,,,
"21 Feb, 2008",,,,,6.52,7.31,,,,,,,
"22 Feb, 2008",,,,,5.75,,,,,,,,
"24 Feb, 2008",,,,,6.68,,,,,,,,
"25 Feb, 2008",,,,,6.44,,,,,,,,
"26 Feb, 2008",,5.88,,,6.68,,,,,,,,
"29 Feb, 2008",,,,,2.80,,,,,,,,
"02 Mar, 2008",,,,,2.80,,,,,,,,
"03 Mar, 2008",,,,,1.75,,,,,,,,
"04 Mar, 2008",,5.06,,,1.75,,,,,,,,
"05 Mar, 2008",,,,,1.99,,,,,,,,
"07 Mar, 2008",,,,,1.00,,,,,,,,
"10 Mar, 2008",,,,,1.68,,,,,,,,
"11 Mar, 2008",,4.68,,,1.75,,,,,,,,
"12 Mar, 2008",,,,,1.50,,,,,,,,
"13 Mar, 2008",,,,,1.50,,,,,,,,
"14 Mar, 2008",,,,,1.16,,,,,,,,
"16 Mar, 2008",,,,,1.04,,,,,,,,
"17 Mar, 2008",,,,,1.05,,,,,,,,
"18 Mar, 2008",,4.14,,,1.23,,,,,,,,
"19 Mar, 2008",,,,,1.08,,,,,,,,
"20 Mar, 2008",,,,,1.08,,,,,,,,
"23 Mar, 2008",,,,,1.17,,,,,,,,
"24 Mar, 2008",,,,,1.22,,,,,,,,
"25 Mar, 2008",,4.05,,,,,,,,,,,
"26 Mar, 2008",,,,,2.93,,,,,,,,
"28 Mar, 2008",,,,,1.05,,,,,,,,
"30 Mar, 2008",,,,,3.20,,,,,,,,
"31 Mar, 2008",,,,,3.43,,,,,,,,
"01 Apr, 2008",,4.01,,,4.01,,,,,,,,
"02 Apr, 2008",,,,,4.09,,,,,,,,
"03 Apr, 2008",,,,,4.29,,,,,,,,
"04 Apr, 2008",,,,,4.18,,,,,,,,
"06 Apr, 2008",,,,,4.38,,,,,,,,
"07 Apr, 2008",,,,,4.46,,,,,,,,
"08 Apr, 2008",,,,,4.79,,,,,,,,
"15 Apr, 2008",,5.17,,,4.78,,,,,,,,
"16 Apr, 2008",,,,,4.50,,,,,,,,
"17 Apr, 2008",,,,,5.20,,,,,,,,
"18 Apr, 2008",,,,,5.17,,,,,,,,
"20 Apr, 2008",,,,,5.44,,,,,,,,
"21 Apr, 2008",,,,,,,,,,,,,
"22 Apr, 2008",,5.55,,,,,,,,,,,
"24 Apr, 2008",,,,,6.69,,,,,,,,
"25 Apr, 2008",,,,,6.62,,,,,,,,
"27 Apr, 2008",,,,,6.79,,,,,,,,
"28 Apr, 2008",,,,,6.82,,,,,,,,
"29 Apr, 2008",,5.61,,,6.86,,,,,,,,
"30 Apr, 2008",,,,,6.86,,,,,,,,
"02 May, 2008",,,,,6.72,,,,,,,,
"04 May, 2008",,,,,6.81,,,,,,,,
"05 May, 2008",,,,,6.80,,,,,,,,
"06 May, 2008",,5.27,,,6.83,,,,,,,,
"07 May, 2008",,,,,6.63,,,,,,,,
"08 May, 2008",,,,,6.35,,,,,,,,
"09 May, 2008",,,,,5.51,,,,,,,,
"11 May, 2008",,,,,6.41,,,,,,,,
"12 May, 2008",,,,,6.32,,,,,,,,
"13 May, 2008",,5.31,,,6.50,,,,,,,,
"14 May, 2008",,,,,6.38,,,,,,,,
"15 May, 2008",,,,,5.50,,,,,,,,
"16 May, 2008",,,,,4.98,,,,,,,,
"18 May, 2008",,,,,5.31,,,,,,,,
"21 May, 2008",,5.71,,,5.40,,,,,,,,
"22 May, 2008",,,,,5.05,,,,,,,,
"23 May, 2008",,,,,4.94,,,,,,,,
"25 May, 2008",,,,,4.60,,,,,,,,
"26 May, 2008",,4.83,,,4.88,,,,,,,,
"27 May, 2008",,,,,4.81,,,,,,,,
"01 Jun, 2008",,,,,4.88,,,,,,,,
"02 Jun, 2008",,,,,5.16,,,,,,,,
"03 Jun, 2008",,5.48,,,5.17,,,,,,,,
"04 Jun, 2008",,,,,4.84,,,,,,,,
"05 Jun, 2008",,,,,4.73,,,,,,,,
"06 Jun, 2008",,,,,4.38,,,,,,,,
"08 Jun, 2008",,,,,4.27,,,,,,,,
"09 Jun, 2008",,,,,4.07,,,,,,,,
"10 Jun, 2008",,,,,4.04,,,,,,,,
"11 Jun, 2008",,,,,3.80,,,,,,,,
"12 Jun, 2008",,,,,3.10,,,,,,,,
"13 Jun, 2008",,,,,2.11,,,,,,,,
"15 Jun, 2008",,,,,2.00,,,,,,,,
"16 Jun, 2008",,,,,1.97,,,,,,,,
"17 Jun, 2008",,4.92,,,2.39,,,,,,,,
"18 Jun, 2008",,,,,2.36,,,,,,,,
"19 Jun, 2008",,,,,1.50,,,,,,,,
"20 Jun, 2008",,,,,2.16,,,,,,,,
"24 Jun, 2008",,5.02,,,2.23,,,,,,,,
"25 Jun, 2008",,,,,2.58,,,,,,,,
"26 Jun, 2008",,,,,2.13,,,,,,,,
"27 Jun, 2008",,,,,1.50,,,,,,,,
"29 Jun, 2008",,,,,2.42,,,,,,,,
"30 Jun, 2008",,,,,3.37,,,,,,,,
"01 Jul, 2008",,5.04,,,3.79,,,,,,,,
"02 Jul, 2008",,,,,3.99,,,,,,,,
"03 Jul, 2008",,,,,4.47,,,,,,,,
"04 Jul, 2008",,,,,3.87,,,,,,,,
"08 Jul, 2008",,5.13,,,,,,,,,,,
"09 Jul, 2008",,,,,4.50,,,,,,,,
"10 Jul, 2008",,5.45,,,5.05,,,,,,,,
"11 Jul, 2008",,,,,4.51,,,,,,,,
"13 Jul, 2008",,,,,5.55,,,,,,,,
"14 Jul, 2008",,,,,5.36,,,,,,,,
"15 Jul, 2008",,5.39,,,,,,,,,,,
"16 Jul, 2008",,,,,5.31,,,,,,,,
"17 Jul, 2008",,,,,4.86,,,,,,,,
"18 Jul, 2008",,,,,3.19,,,,,,,,
"20 Jul, 2008",,,,,4.53,,,,,,,,
"21 Jul, 2008",,,,,5.21,,,,,,,,
"22 Jul, 2008",,5.68,,,5.43,,,,,,,,
"23 Jul, 2008",,,,,6.01,,,,,,,,
"25 Jul, 2008",,,,,5.75,,,,,,,,
"27 Jul, 2008",,5.71,,,6.58,,,,,,,,
"28 Jul, 2008",,,,,6.75,,,,,,,,
"29 Jul, 2008",,,,,6.49,,,,,,,,
"30 Jul, 2008",,,,,6.95,,,,,,,,
"31 Jul, 2008",,,,,7.01,,,,,,,,
"01 Aug, 2008",,,,,7.04,,,,,,,,
"03 Aug, 2008",,,,,5.38,,,,,,,,
"04 Aug, 2008",,,,,5.26,,,,,,,,
"05 Aug, 2008",,5.43,,,3.83,,,,,,,,
"06 Aug, 2008",,,,,3.76,,,,,,,,
"07 Aug, 2008",,,,,2.80,,,,,,,,
"08 Aug, 2008",,,,,1.36,,,,,,,,
"10 Aug, 2008",,,,,1.25,,,,,,,,
"11 Aug, 2008",,,,,1.35,,,,,,,,
"12 Aug, 2008",,3.84,,,1.25,,,,,,,,
"13 Aug, 2008",,,,,1.26,,,,,,,,
"14 Aug, 2008",,,,,1.45,,,,,,,,
"15 Aug, 2008",,,,,1.25,,,,,,,,
"18 Aug, 2008",,,,,1.09,,,,,,,,
"19 Aug, 2008",,3.20,,,1.00,,,,,,,,
"20 Aug, 2008",,,,,1.00,,,,,,,,
"21 Aug, 2008",,,,,1.25,,,,,,,,
"22 Aug, 2008",,,,,0.90,,,,,,,,
"24 Aug, 2008",,,,,1.00,,,,,,,,
"25 Aug, 2008",,,,,1.00,,,,,,,,
"26 Aug, 2008",,2.84,,,0.68,,,,,,,,
"27 Aug, 2008",,,,,0.83,,,,,,,,
"28 Aug, 2008",,,,,0.84,,,,,,,,
"29 Aug, 2008",,,,,0.96,,,,,,,,
"31 Aug, 2008",,,,,0.98,,,,,,,,
"01 Sep, 2008",,,,,1.00,,,,,,,,
"02 Sep, 2008",,3.52,,,1.04,,,,,,,,
"03 Sep, 2008",,,,,1.46,,,,,,,,
"04 Sep, 2008",,,,,2.34,,,,,,,,
"05 Sep, 2008",,,,,2.58,,,,,,,,
"07 Sep, 2008",,,,,3.13,,,,,,,,
"08 Sep, 2008",,,,,3.59,,,,,,,,
"09 Sep, 2008",,,,,3.55,,,,,,,,
"10 Sep, 2008",,,,,3.95,,,,,,,,
"11 Sep, 2008",,,,,4.01,,,,,,,,
"12 Sep, 2008",,,,,3.66,,,,,,,,
"15 Sep, 2008",,,,,4.37,,,,,,,,
"16 Sep, 2008",,4.44,,,4.43,,,,,,,,
"17 Sep, 2008",,,,,3.14,,,,,,,,
"18 Sep, 2008",,,,,2.21,,,,,,,,
"19 Sep, 2008",,,,,1.71,,,,,,,,
"21 Sep, 2008",,,,,2.62,,,,,,,,
"22 Sep, 2008",,,,,3.46,,,,,,,,
"23 Sep, 2008",,5.23,,,3.29,,,,,,,,
"24 Sep, 2008",,,,,3.64,,,,,,,,
"25 Sep, 2008",,,,,4.47,,,,,,,,
"26 Sep, 2008",,,,,4.11,,,,,,,,
"28 Sep, 2008",,,,,3.85,,,,,,,,
"29 Sep, 2008",,,,,4.07,,,,,,,,
"30 Sep, 2008",,,,,,,,,,,,,
"01 Oct, 2008",,5.83,,,5.33,,,,,,,,
"03 Oct, 2008",,,,,6.09,,,,,,,,
"05 Oct, 2008",,,,,6.95,,,,,,,,
"12 Oct, 2008",,6.81,,,7.10,,,,,,,,
"13 Oct, 2008",,,,,7.22,,,,,,,,
"15 Oct, 2008",,6.69,,,7.45,,,,,,,,
"16 Oct, 2008",,,,,6.78,,,,,,,,
"17 Oct, 2008",,,,,6.30,,,,,,,,
"19 Oct, 2008",,,,,6.83,,,,,,,,
"20 Oct, 2008",,,,,6.77,,,,,,,,
"21 Oct, 2008",,6.44,,,6.59,,,,,,,,
"22 Oct, 2008",,,,,6.40,,,,,,,,
"23 Oct, 2008",,,,,5.97,,,,,,,,
"24 Oct, 2008",,,,,5.26,,,,,,,,
"26 Oct, 2008",,,,,5.41,,,,,,,,
"27 Oct, 2008",,,,,5.50,,,,,,,,
"31 Oct, 2008",,5.48,,,5.39,,,,,,,,
"01 Nov, 2008",,,,,,,,,,,,,
"02 Nov, 2008",,,,,5.51,,,,,,,,
"03 Nov, 2008",,,,,5.69,,,,,,,,
"05 Nov, 2008",,5.26,,,5.63,,,,,,,,
"06 Nov, 2008",,,,,5.04,,,,,,,,
"07 Nov, 2008",,,,,4.55,,,,,,,,
"09 Nov, 2008",,,,,4.58,,,,,,,,
"10 Nov, 2008",,,,,4.36,,,,,,,,
"11 Nov, 2008",,5.04,,,4.31,,,,,,,,
"12 Nov, 2008",,,,,3.47,,,,,,,,
"13 Nov, 2008",,,,,2.72,,,,,,,,
"14 Nov, 2008",,,,,2.12,,,,,,,,
"16 Nov, 2008",,,,,2.94,,,,,,,,
"17 Nov, 2008",,,,,3.19,,,,,,,,
"18 Nov, 2008",,4.92,,,2.94,,,,,,,,
"19 Nov, 2008",,,,,2.89,,,,,,,,
"20 Nov, 2008",,,,,2.02,,,,,,,,
"21 Nov, 2008",,,,,1.63,,,,,,,,
"23 Nov, 2008",,,,,3.05,,,,,,,,
"24 Nov, 2008",,,,,2.92,,,,,,,,
"25 Nov, 2008",,4.70,,,2.88,,,,,,,,
"27 Nov, 2008",,,,,2.61,,,,,,,,
"30 Nov, 2008",,,,,2.59,,,,,,,,
"01 Dec, 2008",,,,,2.10,,,,,,,,
"02 Dec, 2008",,4.10,,,1.85,,,,,,,,
"04 Dec, 2008",,,,,1.82,,,,,,,,
"05 Dec, 2008",,,,,1.39,,,,,,,,
"07 Dec, 2008",,,,,1.99,,,,,,,,
"08 Dec, 2008",,,,,1.89,,,,,,,,
"10 Dec, 2008",,,,,1.91,,,,,,,,
"11 Dec, 2008",,,,,1.51,,,,,,,,
"14 Dec, 2008",,,,,1.97,,,,,,,,
"15 Dec, 2008",,,,,1.83,,,,,,,,
"16 Dec, 2008",,4.16,,,1.85,,,,,,,,
"17 Dec, 2008",,,,,1.97,,,,,,,,
"18 Dec, 2008",,,,,1.49,,,,,,,,
"19 Dec, 2008",,,,,1.43,,,,,,,,
"21 Dec, 2008",,,,,1.61,,,,,,,,
"22 Dec, 2008",,,,,1.59,,,,,,,,
"23 Dec, 2008",,4.34,,,2.27,,,,,,,,
"24 Dec, 2008",,,,,2.53,,,,,,,,
"26 Dec, 2008",,,,,2.00,,,,,,,,
"28 Dec, 2008",,,,,2.52,,,,,,,,
"29 Dec, 2008",,,,,2.65,,,,,,,,
"31 Dec, 2008",,4.51,,,2.93,,,,,,,,
"01 Jan, 2009",,,,,3.29,,,,,,,,
"02 Jan, 2009",,,,,3.04,,,,,,,,
"04 Jan, 2009",,,,,3.66,,,,,,,,
"05 Jan, 2009",,,,,4.04,,,,,,,,
"06 Jan, 2009",,5.17,,,4.51,,,,,,,,
"07 Jan, 2009",,,,,5.33,,,,,,,,
"08 Jan, 2009",,,,,5.59,,,,,,,,
"09 Jan, 2009",,,,,5.65,,,,,,,,
"11 Jan, 2009",,,,,6.17,,,,,,,,
"12 Jan, 2009",,,,,6.99,,,,,,,,
"13 Jan, 2009",,6.53,,,6.71,,,,,,,,
"15 Jan, 2009",,,,,7.90,,,,,,,,
"16 Jan, 2009",,,,,7.80,,,,,,,,
"18 Jan, 2009",,,,,8.29,,,,,,,,
"19 Jan, 2009",,,,,8.68,,,,,,,,
"20 Jan, 2009",,6.82,,,9.03,,,,,,,,
"21 Jan, 2009",,,,,7.74,7.09,,,,,,,
"22 Jan, 2009",,,,,8.09,,,,,,,,
"23 Jan, 2009",,,,,8.11,,,,,,,,
"25 Jan, 2009",,,,,9.17,,,,,,,,
"26 Jan, 2009",,,,,9.21,,,,,,,,
"27 Jan, 2009",,,,,,,,,,,,,
"28 Jan, 2009",,6.93,,,9.31,,,,,,,,
"29 Jan, 2009",,,,,,,,,,,,,
"30 Jan, 2009",,,,,8.35,7.19,,,,,,,
"01 Feb, 2009",,,,,8.35,,,,,,,,
"02 Feb, 2009",,,,,9.01,,,,,,,,
"03 Feb, 2009",,6.82,,,8.77,,,,,,,,
"04 Feb, 2009",,,,,9.09,,,,,,,,
"05 Feb, 2009",,,,,8.86,,,,,,,,
"06 Feb, 2009",,,,,6.72,,,,,,,,
"08 Feb, 2009",,,,,7.73,,,,,,,,
"09 Feb, 2009",,,,,7.31,,,,,,,,
"10 Feb, 2009",,,,,6.03,,,,,,,,
"11 Feb, 2009",,5.98,,,5.13,,,,,,,,
"12 Feb, 2009",,,,,5.30,,,,,,,,
"13 Feb, 2009",,,,,5.36,,,,,,,,
"15 Feb, 2009",,,,,5.79,,,,,,,,
"16 Feb, 2009",,,,,8.96,,,,,,,,
"17 Feb, 2009",,6.88,,,9.26,,,,,,,,
"19 Feb, 2009",,,,,10.74,,,,,,,,
"20 Feb, 2009",,,,,10.03,,,,,,,,
"22 Feb, 2009",,,,,11.06,,,,,,,,
"24 Feb, 2009",,7.32,,,10.26,,,,,,,,
"25 Feb, 2009",,,,,,7.20,,,,,,,
"26 Feb, 2009",,,,,9.70,,,,,,,,
"27 Feb, 2009",,,,,10.11,,,,,,,,
"01 Mar, 2009",,,,,9.78,,,,,,,,
"02 Mar, 2009",,,,,5.01,,,,,,,,
"03 Mar, 2009",,5.71,,,3.68,,,,,,,,
"04 Mar, 2009",,,,,2.75,,,,,,,,
"05 Mar, 2009",,,,,1.26,,,,,,,,
"06 Mar, 2009",,,,,1.61,,,,,,,,
"08 Mar, 2009",,,,,4.83,,,,,,,,
"09 Mar, 2009",,,,,5.16,,,,,,,,
"11 Mar, 2009",,,,,5.11,,,,,,,,
"12 Mar, 2009",,,,,4.49,,,,,,,,
"13 Mar, 2009",,,,,4.02,,,,,,,,
"16 Mar, 2009",,,,,5.25,,,,,,,,
"17 Mar, 2009",,5.65,,,5.23,,,,,,,,
"18 Mar, 2009",,,,,4.95,,,,,,,,
"19 Mar, 2009",,,,,4.50,,,,,,,,
"20 Mar, 2009",,,,,3.89,,,,,,,,
"22 Mar, 2009",,,,,5.22,,,,,,,,
"23 Mar, 2009",,,,,5.32,,,,,,,,
"24 Mar, 2009",,6.13,,,5.38,,,,,,,,
"25 Mar, 2009",,,,,5.51,,,,,,,,
"26 Mar, 2009",,,,,5.58,,,,,,,,
"27 Mar, 2009",,,,,5.55,,,,,,,,
"29 Mar, 2009",,,,,5.55,,,,,,,,
"30 Mar, 2009",,,,,5.83,,,,,,,,
"31 Mar, 2009",,6.03,,,5.97,,,,,,,,
"01 Apr, 2009",,,,,5.89,,,,,,,,
"02 Apr, 2009",,,,,4.99,,,,,,,,
"04 Apr, 2009",,,,,,,,,,,,,
"05 Apr, 2009",,,,,5.08,,,,,,,,
"06 Apr, 2009",,,,,5.05,,,,,,,,
"07 Apr, 2009",,6.17,,,4.95,,,,,,,,
"08 Apr, 2009",,,,,4.70,,,,,,,,
"09 Apr, 2009",,,,,4.48,,,,,,,,
"10 Apr, 2009",,,,,3.62,,,,,,,,
"12 Apr, 2009",,,,,5.18,,,,,,,,
"13 Apr, 2009",,,,,5.02,,,,,,,,
"15 Apr, 2009",,6.61,,,5.97,,,,,,,,
"16 Apr, 2009",,,,,6.32,,,,,,,,
"17 Apr, 2009",,,,,6.68,,,,,,,,
"19 Apr, 2009",,,,,6.38,,,,,,,,
"20 Apr, 2009",,,,,6.62,,,,,,,,
"21 Apr, 2009",,6.76,,,7.09,,,,,,,,
"22 Apr, 2009",,,,,7.26,,,,,,,,
"23 Apr, 2009",,,,,7.08,,,,,,,,
"26 Apr, 2009",,,,,7.27,,,,,,,,
"27 Apr, 2009",,,,,7.43,,,,,,,,
"28 Apr, 2009",,6.81,,,7.47,,,,,,,,
"29 Apr, 2009",,,,,7.38,,,,,,,,
"30 Apr, 2009",,,,,6.87,,,,,,,,
"03 May, 2009",,,,,7.55,,,,,,,,
"04 May, 2009",,,,,7.56,,,,,,,,
"05 May, 2009",,6.73,,,6.57,,,,,,,,
"06 May, 2009",,,,,7.10,,,,,,,,
"07 May, 2009",,,,,6.63,,,,,,,,
"08 May, 2009",,,,,4.41,,,,,,,,
"10 May, 2009",,,,,7.58,,,,,,,,
"11 May, 2009",,,,,9.02,,,,,,,,
"12 May, 2009",,6.77,,,8.53,,,,,,,,
"13 May, 2009",,,,,8.69,,,,,,,,
"14 May, 2009",,,,,9.00,,,,,,,,
"15 May, 2009",,,,,8.90,,,,,,,,
"17 May, 2009",,,,,8.75,,,,,,,,
"18 May, 2009",,,,,8.99,,,,,,,,
"19 May, 2009",,6.79,,,6.43,7.93,,,,,,,
"20 May, 2009",,,,,5.69,,,,,,,,
"21 May, 2009",,,,,5.00,,,,,,,,
"22 May, 2009",,,,,4.02,,,,,,,,
