,Date,GDP Per Capita USD,GDP Monthly Growth Rate,Monthly Inflation Rate,Inflation Monthly Growth Rate,NEPSE,NEPSE_returns,SVAR,Risk Premium,Risk Preimum Monthly Change,Risk Premium Absolute,bse_returns,bse_index,GDP Growth
214,1978-10,109.59591666666662,1.018883139026807,7.771566666666672,-2.664395542919646,,,,,,,,,0.04174249999999999
215,1978-11,110.70130833333329,1.0086066162744776,7.558833333333339,-2.737328809720905,,,,,,,,,0.042899749999999987
216,1978-12,111.8067,0.9985353229415036,7.3461,-2.8143672965405413,,,,,,,,,0.044057000000000006
217,1979-01,113.00058333333334,1.0678101878808086,7.03105,-4.288670178734298,,,,,,,,,0.04235966666666667
218,1979-02,114.19446666666667,1.056528469248314,6.715999999999999,-4.480838566074772,,,,,,,,,0.040662333333333335
219,1979-03,115.38835,1.04548264743709,6.400949999999999,-4.6910363311494985,,,,,,,,,0.038965
220,1979-04,116.58223333333333,1.0346654002187674,6.085899999999999,-4.921925651661087,,,,,,,,,0.037267666666666664
221,1979-05,117.77611666666667,1.024069705303866,5.7708499999999985,-5.176719959250075,,,,,,,,,0.03557033333333333
222,1979-06,118.97,1.013688825139561,5.455799999999998,-5.4593344134746244,,,,,,,,,0.03387299999999999
223,1979-07,120.16388333333333,1.003516292622789,5.140749999999998,-5.774588511309073,,,,,,,,,0.03217566666666666
224,1979-08,121.35776666666666,0.993545897665035,4.825699999999998,-6.128483197976957,,,,,,,,,0.030478333333333323
225,1979-09,122.55165,0.9837716745501515,4.510649999999997,-6.528586526307073,,,,,,,,,0.028780999999999987
226,1979-10,123.74553333333333,0.9741878900311274,4.195599999999997,-6.984580936228714,,,,,,,,,0.02708366666666665
227,1979-11,124.93941666666666,0.9647890321159057,3.8805499999999973,-7.509057107445896,,,,,,,,,0.025386333333333316
228,1979-12,126.1333,0.9555697994961662,3.5655,-8.11869451495271,,,,,,,,,0.023689
229,1980-01,126.42103333333334,0.2281184535196775,4.492083333333333,25.987472537745994,,,,,,,0.0,123.54,0.019782083333333336
230,1980-02,126.70876666666668,0.2275992576129885,5.418666666666667,20.627029032557274,,,,,,,0.037801521774324116,128.21,0.01587516666666667
231,1980-03,126.99650000000001,0.22708241971155538,6.34525,17.09984005905512,,,,,,,0.0028078933000544827,128.57,0.011968250000000003
232,1980-04,127.28423333333335,0.22656792378792753,7.271833333333333,14.60278686156311,,,,,,,-0.010266780742008192,127.25,0.008061333333333337
233,1980-05,127.57196666666668,0.22605575395957817,8.198416666666667,12.742087048199673,,,,,,,-0.0100589390962672,125.97,0.00415441666666667
234,1980-06,127.85970000000002,0.2255458944872701,9.125,11.30197904066842,,,,,,,-0.03032468047947919,122.15,0.0002475000000000029
235,1980-07,128.14743333333334,0.22503832977343224,10.051583333333333,10.15433789954338,,,,,,,0.05280392959476044,128.6,-0.003659416666666664
236,1980-08,128.43516666666667,0.22453304436062474,10.978166666666667,9.218282360158847,,,,,,,0.0944790046656299,140.75,-0.007566333333333331
237,1980-09,128.7229,0.22403002292985855,11.90475,8.440237440981342,,,,,,,-0.04504440497335704,134.41,-0.011473249999999997
238,1980-10,129.01063333333335,0.2235292502991584,12.831333333333333,7.783307783307783,,,,,,,-0.025965329960568478,130.92,-0.015380166666666664
239,1980-11,129.29836666666668,0.22303071142197997,13.757916666666667,7.2212552605600875,,,,,,,0.07042468683165291,140.14,-0.01928708333333333
240,1980-12,129.5861,0.2225343913856919,14.6845,6.734910203216329,,,,,,,0.057870700727843685,148.25,-0.023194
241,1981-01,131.1272833333333,1.1893122281890744,14.389533333333333,-2.008693974372074,,,,,,,-0.010927487352445225,146.63,-0.014309499999999998
242,1981-02,132.66846666666663,1.1753338391183952,14.094566666666665,-2.0498695811307335,,,,,,,0.09227306826706677,160.16,-0.005424999999999996
243,1981-03,134.20964999999995,1.1616802184090886,13.799599999999998,-2.0927686082343833,,,,,,,0.08291708291708293,173.44,0.003459500000000006
244,1981-04,135.75083333333328,1.1483401777244204,13.50463333333333,-2.137501570093824,,,,,,,0.07408902214022137,186.29,0.012344000000000008
245,1981-05,137.2920166666666,1.1353030368137624,13.209666666666664,-2.1841886364926655,,,,,,,-0.049546406140962965,177.06,0.02122850000000001
246,1981-06,138.83319999999992,1.122558594994773,12.914699999999996,-2.232960710590734,,,,,,,0.19530102790014675,211.64,0.030113000000000015
247,1981-07,140.37438333333324,1.1100971045350267,12.619733333333329,-2.2839606546545204,,,,,,,-0.017104517104516992,208.02,0.03899750000000002
248,1981-08,141.91556666666656,1.0979092457871216,12.324766666666662,-2.3373446876849013,,,,,,,-0.06984905297567542,193.49,0.04788200000000002
249,1981-09,143.4567499999999,1.0859861039439578,12.029799999999994,-2.393283983740063,,,,,,,0.06155356865987904,205.4,0.056766500000000025
250,1981-10,144.9979333333332,1.0743191472923534,11.734833333333327,-2.4519665054004838,,,,,,,0.014605647517039922,208.4,0.06565100000000003
251,1981-11,146.53911666666653,1.062900206853516,11.43986666666666,-2.513599113749669,,,,,,,0.029558541266794608,214.56,0.07453550000000003
252,1981-12,148.0803,1.0517214573083606,11.1449,-2.578410004778555,,,,9.0,0.0,0.09,0.061334824757643534,227.72,0.08342000000000001
253,1982-01,148.43108333333333,0.23688723843302548,11.191033333333333,0.41394120479621693,,,,9.125,1.3888888888888888,0.105,-0.03420867732302824,219.93,0.07961783333333335
254,1982-02,148.78186666666667,0.23632740896027915,11.237166666666667,0.41223479511871336,,,,9.25,1.36986301369863,0.12,0.03701177647433268,228.07,0.07581566666666668
255,1982-03,149.13265,0.23577021930988412,11.2833,0.41054239651157837,,,,9.375,1.3513513513513513,0.12,-0.045424650326654034,217.71,0.07201350000000002
256,1982-04,149.48343333333335,0.23521565085401447,11.329433333333334,0.4088638371162123,,,,9.5,1.3333333333333335,0.12,0.03761885076477882,225.9,0.06821133333333336
257,1982-05,149.8342166666667,0.23466368513969513,11.375566666666668,0.40719894787324085,,,,9.625,1.3157894736842104,0.1067,0.013368747233288986,228.92,0.0644091666666667
258,1982-06,150.18500000000003,0.23411430388675533,11.421700000000001,0.40554756246575474,,,,9.75,1.2987012987012987,0.1,-0.07037392975712033,212.81,0.06060700000000003
259,1982-07,150.53578333333337,0.23356748898581042,11.467833333333335,0.40390951726392377,,,,9.875,1.282051282051282,0.1,0.015553780367463946,216.12,0.05680483333333336
260,1982-08,150.8865666666667,0.23302322249627205,11.513966666666668,0.40228465127094837,,,,10.0,1.2658227848101267,0.0971,-0.00985563575791225,213.99,0.05300266666666669
261,1982-09,151.23735000000005,0.2324814866443861,11.560100000000002,0.4006728060703109,,,,10.125,1.25,0.0768,0.06649843450628529,228.22,0.04920050000000002
262,1982-10,151.5881333333334,0.23194226382129765,11.606233333333336,0.3990738257742889,,,,10.25,1.2345679012345678,0.0552,-0.026640960476733033,222.14,0.04539833333333335
263,1982-11,151.93891666666673,0.23140553658114354,11.65236666666667,0.3974875569736972,,,,10.375,1.2195121951219512,0.0341,0.02624471054290093,227.97,0.041596166666666684
264,1982-12,152.2897,0.2308712876391329,11.6985,0.39591384868879304,,,,10.5,1.2048192771084338,0.0078000000000000005,0.03447822081852881,235.83,0.037794
265,1983-01,152.2649416666667,-0.01625739188751694,11.755058333333332,0.4834665412944674,,,,10.625,1.1904761904761905,0.0775,-0.06008565492091768,221.66,0.032163333333333335
266,1983-02,152.24018333333336,-0.016260035345184057,11.811616666666666,0.48114038849941854,,,,10.75,1.1764705882352942,0.11199999999999999,-0.01281241541098982,218.82,0.02653266666666667
267,1983-03,152.21542500000004,-0.016262679662645278,11.868174999999999,0.4788365126422147,,,,10.875,1.1627906976744187,0.0839,-0.033406452792249346,211.51,0.020902000000000004
268,1983-04,152.19066666666671,-0.016265324840320148,11.924733333333332,0.47655459523754296,,,,11.0,1.1494252873563218,0.0417,0.012528958441681271,214.16,0.015271333333333338
269,1983-05,152.1659083333334,-0.016267970878628482,11.981291666666666,0.4742943238423216,,,,11.125,1.1363636363636365,0.0296,0.10861038475905861,237.42,0.009640666666666672
270,1983-06,152.14115000000007,-0.01627061777799038,12.037849999999999,0.4720553919130862,,,,11.25,1.1235955056179776,0.024300000000000002,0.00012635835228709096,237.45,0.004010000000000006
271,1983-07,152.11639166666674,-0.0162732655388262,12.094408333333332,0.46983749866739716,,,,11.375,1.1111111111111112,0.0387,-0.008380711728784926,235.46,-0.0016206666666666609
272,1983-08,152.09163333333342,-0.016275914161556583,12.150966666666665,0.4676403489491351,,,,11.5,1.098901098901099,0.0655,0.01320818822729969,238.57,-0.0072513333333333275
273,1983-09,152.0668750000001,-0.016278563646602438,12.207524999999999,0.4654636530975582,,,,11.625,1.0869565217391304,0.0516,-0.00989227480404068,236.21,-0.012881999999999994
274,1983-10,152.04211666666677,-0.016281213994384952,12.264083333333332,0.4633071268200005,,,,11.75,1.0752688172043012,0.0527,0.003005799923796535,236.92,-0.01851266666666666
275,1983-11,152.01735833333345,-0.01628386520532559,12.320641666666665,0.46117049106809127,,,,11.875,1.0638297872340425,0.053200000000000004,0.01388654398109075,240.21,-0.024143333333333326
276,1983-12,151.9926,-0.016286517279920868,12.3772,0.45905347191739915,,,,12.0,1.0526315789473684,0.0297,0.05291203530244361,252.92,-0.029774
277,1984-01,152.380775,0.2553907229694009,11.582916666666668,-6.417310323282588,,,,12.0,0.0,0.028999999999999998,-0.017634034477304997,248.46,-0.01922525
278,1984-02,152.76895,0.25474014028343783,10.788633333333335,-6.8573689701068306,,,,12.0,0.0,0.0109,0.008089833373581224,250.47,-0.008676499999999998
279,1984-03,153.15712499999998,0.2540928637658305,9.994350000000003,-7.362223821985476,,,,12.0,0.0,0.0226,-0.020521419730905842,245.33,0.0018722500000000024
280,1984-04,153.54529999999997,0.25344886827824026,9.20006666666667,-7.947323571151024,,,,12.0,0.0,,-0.04100599192923818,235.27,0.012421000000000003
281,1984-05,153.93347499999996,0.2528081289365352,8.405783333333337,-8.63345193150773,,,,12.0,0.0,,0.0232923874697156,240.75,0.022969750000000004
282,1984-06,154.32164999999995,0.2521706211075855,7.611500000000004,-9.449248235837624,,,,12.0,0.0,,0.03609553478712356,249.44,0.03351850000000001
283,1984-07,154.70982499999994,0.25153632040610624,6.8172166666666705,-10.435306225229365,,,,12.0,0.0,,0.01719852469531748,253.73,0.04406725000000001
284,1984-08,155.09799999999993,0.2509052026915484,6.022933333333337,-11.651138172225709,,,,12.0,0.0,,-0.01809009577109527,249.14,0.05461600000000001
285,1984-09,155.48617499999992,0.25027724406503626,5.228650000000004,-13.187649428849724,,,,12.0,0.0,,0.06610740948864104,265.61,0.06516475000000001
286,1984-10,155.8743499999999,0.2496524208663503,4.43436666666667,-15.190983013461082,,,,12.0,0.0,,0.008282820676932302,267.81,0.0757135
287,1984-11,156.2625249999999,0.2490307096709561,3.6400833333333367,-17.911990438318874,,,,12.0,0.0,,-0.03125350061610845,259.44,0.08626225
