,Date,GDP Per Capita USD,GDP Monthly Growth Rate,Monthly Inflation Rate,Inflation Monthly Growth Rate,NEPSE,SVAR,Risk Premium,Risk Preimum Monthly Change
461,1999-05,212.06787499999996,0.13753880268168658,9.66391666666667,-3.167491090544111,207.77,0.000578755540731652,10.029166666666665,-2.281584930172136
462,1999-06,212.35914999999994,0.13734989328298058,9.347800000000005,-3.2711029861943395,215.15,0.003513891174333413,9.794999999999998,-2.334856668051519
463,1999-07,212.65042499999993,0.1371615021062124,9.031683333333339,-3.381722615660003,226.31,0.0010302763045484838,9.560833333333331,-2.3906755147183962
464,1999-08,212.9416999999999,0.13697362702189977,8.715566666666673,-3.5000858090315288,229.62,0.0003577128083645137,9.326666666666664,-2.4492286237252707
465,1999-09,213.2329749999999,0.136786265912212,8.399450000000007,-3.627035151663488,245.75,0.0004275329619334455,9.092499999999998,-2.510721944245893
466,1999-10,213.52424999999988,0.13659941667089004,8.083333333333341,-3.763540073060327,249.72,0.00039523523464811427,8.85833333333333,-2.575382641371096
467,1999-11,213.81552499999987,0.1364130772031677,7.767216666666674,-3.9107216494845347,260.56,0.000423585684438156,8.624166666666664,-2.6434619002822233
468,1999-12,214.1068,0.13622724542575987,7.4511,-4.069883463188319,262.52,0.000529647264851172,8.39,-2.715238187264432
469,2000-01,215.38875833333333,0.5987471361644449,7.036741666666667,-5.561035730742217,275.78,0.0006721026421074751,8.038333333333334,-4.191497814858957
470,2000-02,216.67071666666666,0.5951834920508667,6.6223833333333335,-5.888497161920349,308.19,0.009373576944929714,7.686666666666667,-4.374870412606261
471,2000-03,217.952675,0.591662017394599,6.208025,-6.2569367020433235,330.06,0.0060944646616041456,7.335000000000001,-4.575021682567215
472,2000-04,219.23463333333333,0.5881819680962097,5.793666666666667,-6.674559676118143,350.7,0.008078098340577712,6.983333333333334,-4.794364917064302
473,2000-05,220.51659166666667,0.584742617460533,5.379308333333333,-7.151918761866407,343.49,0.0068706097983270925,6.631666666666668,-5.035799522673029
474,2000-06,221.79855,0.5813432556907765,4.96495,-7.702818051267435,373.46,0.011211639785155804,6.280000000000001,-5.302839909525004
475,2000-07,223.08050833333334,0.5779831894001721,4.550591666666667,-8.345669812049133,355.56,0.009279914596320799,5.928333333333335,-5.5997876857749445
476,2000-08,224.36246666666668,0.574661741140466,4.136233333333333,-9.105592496213863,423.63,0.02027212726160188,5.576666666666668,-5.931965139162212
477,2000-09,225.644425,0.5713782489465716,3.721875,-10.01776979055018,423.9,0.0033247215562146803,5.225000000000001,-6.306037059175132
478,2000-10,226.92638333333335,0.5681320658967468,3.3075166666666664,-11.133053456479152,468.76,0.002416262568636686,4.873333333333335,-6.730462519936201
479,2000-11,228.20834166666668,0.5649225596876764,2.893158333333333,-12.527777637804801,502.85,0.007086604614612205,4.521666666666668,-7.2161422708618295
480,2000-12,229.4903,0.561749112223866,2.4788,-14.322006803406875,488.01,0.0008471094090952062,4.17,-7.777368227054955
481,2001-01,230.92657499999999,0.6258543389415565,2.4962583333333335,0.7043058469151748,468.07,0.0006499415852254191,4.069166666666667,-2.418065547561945
482,2001-02,232.36284999999998,0.6219617642534191,2.513716666666667,0.6993800721746889,375.29,0.006098203389139549,3.9683333333333337,-2.4779848453819318
