,Date,indexes,returns,SVAR,treasury_yields,gov_bond_yields,infl
48,2001-07,1211.23,-0.010830890268300843,0.0028995945080000003,0.0351,0.0561,-0.002808988764044895
49,2001-08,1133.58,-0.06625560588746704,0.0022214854740000007,0.0336,0.0546,0.0
50,2001-09,1040.94,-0.08525661524698992,0.0071675871149999995,0.0264,0.0542,0.004507042253521165
51,2001-10,1059.78,0.017937188329115412,0.0032497575220000008,0.0216,0.0506,-0.0033651149747617737
52,2001-11,1139.45,0.07248435043337315,0.002189351207,0.0187,0.0553,-0.0016882386043892694
53,2001-12,1148.08,0.007545292033896033,0.0017979546380000003,0.0169,0.0575,-0.003945885005637084
54,2002-01,1130.2,-0.015696373666933345,0.0021838889320000003,0.0165,0.0569,0.002263723825693287
55,2002-02,1106.73,-0.02098488667516772,0.002567831979000001,0.0173,0.0563,0.0039525691699606735
56,2002-03,1147.39,0.03608007625275841,0.0020148243980000003,0.0179,0.0604,0.0056242969628796935
57,2002-04,1076.92,-0.06338468278441352,0.002319716788,0.0172,0.0575,0.005592841163311046
58,2002-05,1067.14,-0.009122942297125956,0.004101624997000001,0.0173,0.0578,0.0
59,2002-06,989.81,-0.07522444617392271,0.0037079692790000004,0.017,0.0566,0.0005561735261401246
60,2002-07,911.62,-0.08228976893988257,0.015342791354000001,0.0168,0.0544,0.0011117287381878782
61,2002-08,916.07,0.004869544390315665,0.009409277857999998,0.016200000000000003,0.051,0.003331482509716821
62,2002-09,815.29,-0.11654890279843105,0.007366061247999999,0.0163,0.048,0.0016602102933038765
63,2002-10,885.76,0.08290215537932169,0.011589679134999998,0.0158,0.0508,0.0016574585635360517
64,2002-11,936.31,0.05550058467611222,0.004449081113,0.0123,0.0521,0.0
65,2002-12,879.82,-0.062229277129875436,0.0026394797,0.011899999999999999,0.0484,-0.0022062879205736463
66,2003-01,855.7,-0.027797493671422965,0.005167513391,0.011699999999999999,0.0495,0.004422332780541716
67,2003-02,841.15,-0.017149844258839787,0.002564160074,0.011699999999999999,0.0472,0.007705008255366019
68,2003-03,848.18,0.008322874252829663,0.006136132637000001,0.0113,0.0486,0.006007646095030017
69,2003-04,916.92,0.07792735002947673,0.00306482826,0.0113,0.0481,-0.0021715526601518986
70,2003-05,963.59,0.04964566548928773,0.002228351412,0.010700000000000001,0.0436,-0.0016322089227421843
71,2003-06,974.51,0.011268887630854305,0.001997740957,0.0092,0.0452,0.0010899182561308063
72,2003-07,990.31,0.0160832448587717,0.0020460593980000004,0.009000000000000001,0.0542,0.0010887316276537717
73,2003-08,1008.01,0.017715343790636197,0.00096602471,0.0095,0.0532,0.0038064165307232223
74,2003-09,995.97,-0.012016232567985653,0.0018691216959999999,0.009399999999999999,0.049,0.003250270855904569
75,2003-10,1050.71,0.05350426846494651,0.0014075759560000002,0.0092,0.0518,-0.001079913606911398
76,2003-11,1058.2,0.007103225356045156,0.000919633307,0.009300000000000001,0.0519,-0.002702702702702675
77,2003-12,1111.92,0.04951889930647121,0.0008936987450000002,0.009000000000000001,0.0511,-0.0010840108401083404
78,2004-01,1131.13,0.017128882262967212,0.000978818637,0.0088,0.0499,0.004883342376559741
79,2004-02,1144.94,0.012135100829125884,0.0006107118710000001,0.009300000000000001,0.0483,0.005399568034557323
80,2004-03,1126.21,-0.016494220669989047,0.0019812629170000004,0.009399999999999999,0.0474,0.0064446831364124435
81,2004-04,1107.3,-0.016933393494544095,0.001230928287,0.009399999999999999,0.0531,0.0032017075773744796
82,2004-05,1120.68,0.012011024205564368,0.0009776264459999998,0.0102,0.0539,0.005851063829787284
83,2004-06,1140.84,0.017829189249312503,0.0007707513740000001,0.0127,0.0532,0.0031729243786355887
84,2004-07,1101.72,-0.034892238215330364,0.000777089179,0.013300000000000001,0.0523,-0.001581444385872377
85,2004-08,1104.24,0.002284720571713859,0.0014428365800000004,0.0148,0.0493,0.000527983104540608
86,2004-09,1114.58,0.009320336802206484,0.0007056802259999999,0.0165,0.0488,0.0021108179419524475
87,2004-10,1130.2,0.01391695587821374,0.001230486751,0.0176,0.0478,0.00526592943654558
88,2004-11,1173.82,0.03786877946113301,0.0008574002369999999,0.0207,0.0502,0.0005238344683080598
89,2004-12,1211.92,0.03194249119319211,0.0007278431099999999,0.0219,0.0484,-0.003664921465968529
90,2005-01,1181.27,-0.02561574796851591,0.0008213965099999999,0.0233,0.0465,0.0021019442984759884
91,2005-02,1203.6,0.018726934874337724,0.0008344462299999999,0.0254,0.0479,0.0057682223387520715
92,2005-03,1180.59,-0.01930275225452871,0.000859895714,0.0274,0.0488,0.007820646506777829
93,2005-04,1156.85,-0.02031351934767037,0.00182587057,0.0278,0.0461,0.0067252974650799935
94,2005-05,1191.5,0.029512223385105795,0.0008593926830000001,0.028399999999999998,0.044,-0.0010277492291880241
95,2005-06,1191.33,-0.00014268747689802155,0.0005421325960000001,0.0297,0.0429,0.0005144032921811093
96,2005-07,1234.18,0.03533645186472915,0.0006499132879999999,0.0322,0.0456,0.004627249357326502
97,2005-08,1220.33,-0.011285467972359155,0.0006967006769999999,0.0344,0.0432,0.0051177072671442225
98,2005-09,1228.81,0.006924907426858922,0.0006598993309999999,0.0342,0.0464,0.012219959266802416
99,2005-10,1207.01,-0.01789999431377393,0.0018179842920000003,0.0371,0.0484,0.002012072434607548
100,2005-11,1249.48,0.034581237676988605,0.0005398964150000001,0.0388,0.0481,-0.008032128514056214
101,2005-12,1248.29,-0.0009528500142413687,0.00043300026,0.038900000000000004,0.0461,-0.004048582995951344
102,2006-01,1280.08,0.02514796123051826,0.0009753876000000001,0.0424,0.0474,0.007621951219512146
103,2006-02,1280.66,0.0004529940641520396,0.0006485510200000001,0.0443,0.0457,0.0020171457387794245
104,2006-03,1294.87,0.011034733969458945,0.0005452381439999999,0.0451,0.0507,0.005535983895319729
105,2006-04,1310.61,0.012082373675144375,0.0005998004669999999,0.046,0.0532,0.008508508508508372
106,2006-05,1270.09,-0.0314049135858917,0.001355149012,0.0472,0.0535,0.00496277915632759
107,2006-06,1270.2,8.660428539180607e-05,0.002102820483,0.0479,0.0531,0.0019753086419753707
108,2006-07,1276.66,0.005072924191958309,0.001451664947,0.0495,0.0518,0.0029571217348447476
109,2006-08,1303.82,0.02105112458799209,0.0004692382800000001,0.0496,0.0496,0.0019656019656020263
110,2006-09,1335.85,0.02426937619530401,0.000513377211,0.0481,0.0484,-0.004904364884747436
111,2006-10,1377.94,0.031021836917226073,0.00045057733999999996,0.0492,0.0481,-0.005421389847215297
112,2006-11,1400.63,0.01633250512235968,0.000592202888,0.049400000000000006,0.0467,-0.0014866204162538033
113,2006-12,1418.3,0.012536835916847028,0.0003575089390000001,0.048499999999999995,0.0491,0.0014888337468983437
114,2007-01,1438.24,0.013961172524527271,0.000450484789,0.049800000000000004,0.0502,0.0030525272547075044
115,2007-02,1406.82,-0.022088305664389823,0.001476815008,0.050300000000000004,0.0477,0.005350367559876723
116,2007-03,1420.86,0.009930483915285941,0.0015875509920000004,0.049400000000000006,0.0493,0.009105695851085338
117,2007-04,1482.37,0.0423798362376053,0.0005821436950000001,0.0487,0.0489,0.006496162686508988
118,2007-05,1530.62,0.032030723748061214,0.0006965496190000001,0.0473,0.051,0.006110718674704696
119,2007-06,1503.35,-0.017976930819991094,0.0014724290329999998,0.0461,0.0521,0.0019379751766057662
120,2007-07,1455.27,-0.032504500841186675,0.0024262621089999998,0.0482,0.0501,-0.0002543772078021922
121,2007-08,1473.99,0.012781559065278813,0.005134044114,0.042,0.0487,-0.0018339022270870142
122,2007-09,1526.75,0.03516828363749106,0.001868431408,0.038900000000000004,0.0489,0.002755907405358915
