,Date,GDP Per Capita USD,GDP Monthly Growth Rate,Monthly Inflation Rate,Inflation Monthly Growth Rate,NEPSE,SVAR,Risk Premium,Risk Preimum Monthly Change
142,1972-10,79.76048333333331,1.0298731508131276,6.657583333333331,14.946944354519623,,,,
143,1972-11,80.57354166666664,1.019374882591188,7.5232916666666645,13.003342053547959,,,,
144,1972-12,81.3866,1.0090884880014181,8.389,11.507042019506112,,,,
145,1973-01,80.90746666666666,-0.5887128020255632,8.642399999999999,3.020622243413985,,,,
146,1973-02,80.42833333333333,-0.5921991542601799,8.895799999999998,2.9320559103952517,,,,
147,1973-03,79.94919999999999,-0.5957270447810725,9.149199999999997,2.8485352638323618,,,,
148,1973-04,79.47006666666665,-0.5992972204016264,9.402599999999996,2.7696410615135667,,,,
149,1973-05,78.99093333333332,-0.6029104459456899,9.655999999999995,2.69499925552506,,,,
150,1973-06,78.51179999999998,-0.6065675047938038,9.909399999999994,2.624275062137524,,,,
151,1973-07,78.03266666666664,-0.6102691994494294,10.162799999999994,2.55716794155044,,,,
152,1973-08,77.5535333333333,-0.6140163521260376,10.416199999999993,2.4934073286889373,,,,
153,1973-09,77.07439999999997,-0.6178098053559612,10.669599999999992,2.432748987154618,,,,
154,1973-10,76.59526666666663,-0.6216504226219565,10.922999999999991,2.374971882732243,,,,
155,1973-11,76.1161333333333,-0.6255390890124679,11.17639999999999,2.3198754920809246,,,,
156,1973-12,75.637,-0.629476711901587,11.4298,2.2672774775420534,,,,
157,1974-01,77.06326666666666,1.88567323752484,12.127841666666667,6.107208058467048,,,,
158,1974-02,78.48953333333333,1.850773693303074,12.825883333333334,5.755695744158929,,,,
159,1974-03,79.91579999999999,1.8171424979806183,13.523925,5.442445159722592,,,,
160,1974-04,81.34206666666665,1.7847117424422496,14.221966666666667,5.161531631288008,,,,
161,1974-05,82.76833333333332,1.753418280496107,14.920008333333334,4.908193662854879,,,,
162,1974-06,84.19459999999998,1.7232033184994222,15.61805,4.678560836371293,,,,
163,1974-07,85.62086666666664,1.6940120466949944,16.316091666666665,4.469454680108368,,,,
164,1974-08,87.0471333333333,1.6657933073946893,17.014133333333334,4.278240653015873,,,,
165,1974-09,88.47339999999997,1.6384992957838134,17.712175000000002,4.10271656505181,,,,
166,1974-10,89.89966666666663,1.6120852896652142,18.41021666666667,3.9410273818244703,,,,
167,1974-11,91.3259333333333,1.5865094049291955,19.10825833333334,3.791599410834392,,,,
168,1974-12,92.7522,1.56173237393691,19.8063,3.6530889131269744,,,,
169,1975-01,94.80765833333334,2.216075018526066,18.78794166666667,-5.141587945922923,,,,
170,1975-02,96.86311666666667,2.168029850612456,17.769583333333337,-5.420276214398144,,,,
171,1975-03,98.918575,2.1220237424392883,16.751225000000005,-5.730907215044424,,,,
172,1975-04,100.97403333333334,2.0779295833298588,15.732866666666672,-6.079306637773256,,,,
173,1975-05,103.02949166666667,2.0356306126228496,14.714508333333338,-6.472808515506815,,,,
174,1975-06,105.08495,1.9950193872482633,13.696150000000005,-6.920777169471625,,,,
175,1975-07,107.14040833333334,1.9559968704684485,12.677791666666671,-7.435362005624451,,,,
176,1975-08,109.19586666666667,1.918471625512597,11.659433333333338,-8.03261609047317,,,,
177,1975-09,111.25132500000001,1.8823591002834057,10.641075000000004,-8.734200918855404,,,,
178,1975-10,113.30678333333334,1.8475809913574817,9.62271666666667,-9.57007006654246,,,,
179,1975-11,115.36224166666668,1.8140646772104116,8.604358333333337,-10.582856885529552,,,,
